,FFMC,DMC,DC,ISI
0,86.2,26.2,94.3,5.1
1,90.6,35.4,669.1,6.7
2,90.6,43.7,686.9,6.7
3,91.7,33.3,77.5,9.0
4,89.3,51.3,102.2,9.6
5,92.3,85.3,488.0,14.7
6,92.3,88.9,495.6,8.5
7,91.5,145.4,608.2,10.7
8,91.0,129.5,692.6,7.0
9,92.5,88.0,698.6,7.1
10,92.5,88.0,698.6,7.1
11,92.8,73.2,713.0,22.6
12,63.5,70.8,665.3,0.8
13,90.9,126.5,686.5,7.0
14,92.9,133.3,699.6,9.2
15,93.3,141.2,713.9,13.9
16,91.7,35.8,80.8,7.8
17,84.9,32.8,664.2,3.0
18,89.2,27.9,70.8,6.3
19,86.3,27.4,97.1,5.1
20,91.0,129.5,692.6,7.0
21,91.8,78.5,724.3,9.2
22,94.3,96.3,200.0,56.1
23,90.2,110.9,537.4,6.2
24,93.5,139.4,594.2,20.3
25,91.4,142.4,601.4,10.6
26,92.4,117.9,668.0,12.2
27,90.9,126.5,686.5,7.0
28,93.4,145.4,721.4,8.1
29,93.5,149.3,728.6,8.1
30,94.3,85.1,692.3,15.9
31,88.6,91.8,709.9,7.1
32,88.6,69.7,706.8,5.8
33,91.7,75.6,718.3,7.8
34,91.8,78.5,724.3,9.2
35,90.3,80.7,730.2,6.3
36,90.6,35.4,669.1,6.7
37,90.0,41.5,682.6,8.7
38,90.6,43.7,686.9,6.7
39,88.1,25.7,67.6,3.8
40,79.5,60.6,366.7,1.5
41,90.2,96.9,624.2,8.9
42,94.8,108.3,647.1,17.0
43,92.5,88.0,698.6,7.1
44,90.1,82.9,735.7,6.2
45,94.3,85.1,692.3,15.9
46,90.9,126.5,686.5,7.0
47,94.2,62.3,442.9,11.0
48,87.2,23.9,64.7,4.1
49,87.6,52.2,103.8,5.0
50,92.9,137.0,706.4,9.2
51,90.2,99.6,631.2,6.3
52,92.1,111.2,654.1,9.6
53,92.1,111.2,654.1,9.6
54,91.7,114.3,661.3,6.3
55,92.9,137.0,706.4,9.2
56,90.3,80.7,730.2,6.3
57,92.6,46.5,691.8,8.8
58,84.0,9.3,34.0,2.1
59,86.6,13.2,43.0,5.3
60,89.3,51.3,102.2,9.6
61,89.3,51.3,102.2,9.6
62,93.0,75.3,466.6,7.7
63,90.2,99.6,631.2,6.3
64,91.1,103.2,638.8,5.8
65,91.7,114.3,661.3,6.3
66,92.4,117.9,668.0,12.2
67,92.4,117.9,668.0,12.2
68,92.4,117.9,668.0,12.2
69,91.7,33.3,77.5,9.0
70,91.2,48.3,97.8,12.5
71,94.3,85.1,692.3,15.9
72,91.7,33.3,77.5,9.0
73,88.8,147.3,614.5,9.0
74,93.3,141.2,713.9,13.9
75,84.2,6.8,26.6,7.7
76,86.6,13.2,43.0,5.3
77,87.6,52.2,103.8,5.0
78,90.1,108.0,529.8,12.5
79,91.0,121.2,561.6,7.0
80,91.4,142.4,601.4,10.6
81,90.2,99.6,631.2,6.3
82,94.8,108.3,647.1,17.0
83,92.1,111.2,654.1,9.6
84,91.7,114.3,661.3,6.3
85,92.9,137.0,706.4,9.2
86,92.9,137.0,706.4,9.2
87,92.9,137.0,706.4,9.2
88,93.5,149.3,728.6,8.1
89,91.7,35.8,80.8,7.8
90,90.2,96.9,624.2,8.9
91,91.7,35.8,80.8,7.8
92,92.3,85.3,488.0,14.7
93,91.4,142.4,601.4,10.6
94,91.1,103.2,638.8,5.8
95,89.7,90.0,704.4,4.8
96,83.9,8.0,30.2,2.6
97,69.0,2.4,15.5,0.7
98,91.4,142.4,601.4,10.6
99,91.4,142.4,601.4,10.6
100,91.4,142.4,601.4,10.6
101,88.8,147.3,614.5,9.0
102,94.8,108.3,647.1,17.0
103,92.5,121.1,674.4,8.6
104,82.1,3.7,9.3,2.9
105,85.9,19.5,57.3,2.8
106,91.4,30.7,74.3,7.5
107,90.2,99.6,631.2,6.3
108,92.5,88.0,698.6,7.1
109,88.6,91.8,709.9,7.1
110,85.9,19.5,57.3,2.8
111,91.7,33.3,77.5,9.0
112,89.7,90.0,704.4,4.8
113,91.8,78.5,724.3,9.2
114,88.1,25.7,67.6,3.8
115,88.1,25.7,67.6,3.8
116,91.7,35.8,80.8,7.8
117,91.7,35.8,80.8,7.8
118,90.1,39.7,86.6,6.2
119,93.0,75.3,466.6,7.7
120,91.5,145.4,608.2,10.7
121,91.5,145.4,608.2,10.7
122,92.4,124.1,680.7,8.5
123,84.4,73.4,671.9,3.2
124,94.3,85.1,692.3,15.9
125,92.6,46.5,691.8,8.8
126,87.6,52.2,103.8,5.0
127,93.5,149.3,728.6,8.1
