,X,Y,month,day,temp,RH,wind,rain
0,7,5,7,0,8.2,51,6.7,0.0
1,7,4,10,5,18.0,33,0.9,0.0
2,7,4,10,2,14.6,33,1.3,0.0
3,8,6,7,0,8.3,97,4.0,0.2
4,8,6,7,3,11.4,99,1.8,0.0
5,8,6,1,3,22.2,29,5.4,0.0
6,8,6,1,1,24.1,27,3.1,0.0
7,8,6,1,1,8.0,86,2.2,0.0
8,8,6,11,5,13.1,63,5.4,0.0
9,7,5,11,2,22.8,40,4.0,0.0
10,7,5,11,2,17.8,51,7.2,0.0
11,7,5,11,2,19.3,38,4.0,0.0
12,6,5,1,0,17.0,72,6.7,0.0
13,6,5,11,1,21.3,42,2.2,0.0
14,6,5,11,6,26.4,21,4.5,0.0
15,6,5,11,0,22.9,44,5.4,0.0
16,5,5,7,2,15.1,27,5.4,0.0
17,8,5,10,1,16.7,47,4.9,0.0
18,6,4,7,6,15.9,35,4.0,0.0
19,6,4,0,2,9.3,44,4.5,0.0
20,6,4,11,5,18.3,40,2.7,0.0
21,5,4,11,1,19.1,38,2.7,0.0
22,7,4,6,3,21.0,44,4.5,0.0
23,7,4,1,2,19.5,43,5.8,0.0
24,7,4,1,2,23.7,32,5.8,0.0
25,7,4,1,3,16.3,60,5.4,0.0
26,7,4,11,0,19.0,34,5.8,0.0
27,7,4,11,1,19.4,48,1.3,0.0
28,6,3,11,2,30.2,24,2.7,0.0
29,6,3,11,3,22.8,39,3.6,0.0
30,6,3,11,0,25.4,24,3.6,0.0
31,6,3,11,1,11.2,78,7.6,0.0
32,6,3,11,0,20.6,37,1.8,0.0
33,6,3,11,3,17.7,39,3.6,0.0
34,6,3,11,1,21.2,32,2.7,0.0
35,6,3,11,5,18.2,62,4.5,0.0
36,6,3,10,5,21.7,24,4.5,0.0
37,7,4,10,0,11.3,60,5.4,0.0
38,7,3,10,2,17.8,27,4.0,0.0
39,4,4,7,5,14.1,43,2.7,0.0
40,4,4,5,5,23.3,37,3.1,0.0
41,4,4,1,2,18.4,42,6.7,0.0
42,4,4,1,5,16.6,54,5.4,0.0
43,4,4,11,2,19.6,48,2.7,0.0
44,4,4,11,6,12.9,74,4.9,0.0
45,5,6,11,6,25.9,24,4.0,0.0
46,5,6,11,1,14.7,70,3.6,0.0
47,6,6,5,1,23.0,36,3.1,0.0
48,4,4,7,1,11.8,35,1.8,0.0
49,4,4,7,1,11.0,46,5.8,0.0
50,4,4,11,4,20.8,17,1.3,0.0
51,4,3,1,3,21.5,34,2.2,0.0
52,4,3,1,6,20.4,42,4.9,0.0
53,4,3,1,6,20.4,42,4.9,0.0
54,4,3,1,4,17.6,45,3.6,0.0
55,4,3,11,4,27.7,24,2.2,0.0
56,4,3,11,5,17.8,63,4.9,0.0
57,4,3,10,3,13.8,50,2.7,0.0
58,2,2,3,1,13.9,40,5.4,0.0
59,2,2,3,0,12.3,51,0.9,0.0
60,2,2,7,3,11.5,39,5.8,0.0
61,2,2,7,3,5.5,59,6.3,0.0
62,2,2,1,4,18.8,35,4.9,0.0
63,2,2,1,3,20.8,33,2.7,0.0
64,2,2,1,1,23.1,31,3.1,0.0
65,2,2,1,4,18.6,44,4.5,0.0
66,2,2,11,0,23.0,37,4.5,0.0
67,2,2,11,0,19.6,33,5.4,0.0
68,2,2,11,0,19.6,33,6.3,0.0
69,4,5,7,0,17.2,26,4.5,0.0
70,4,5,7,0,15.8,27,7.6,0.0
71,4,5,11,0,17.7,37,3.6,0.0
72,5,4,7,0,15.6,25,6.3,0.0
73,5,4,1,5,17.3,43,4.5,0.0
74,5,4,11,0,27.6,30,1.3,0.0
75,9,9,3,4,6.7,79,3.1,0.0
76,9,9,3,0,15.7,43,3.1,0.0
77,1,3,7,1,8.3,72,3.1,0.0
78,1,2,1,0,14.7,66,2.7,0.0
79,1,2,1,5,21.6,19,6.7,0.0
80,1,2,1,3,19.5,39,6.3,0.0
81,1,2,1,3,17.9,44,2.2,0.0
82,1,2,1,5,18.6,51,4.5,0.0
83,1,2,1,6,16.6,47,0.9,0.0
84,1,2,1,4,20.2,45,3.6,0.0
85,1,2,11,4,21.5,15,0.9,0.0
86,1,2,11,4,25.4,27,2.2,0.0
87,1,2,11,4,22.4,34,2.2,0.0
88,1,2,11,3,25.3,36,3.6,0.0
89,6,5,7,2,17.4,25,4.9,0.0
90,6,5,1,2,14.7,59,5.8,0.0
91,8,6,7,0,17.4,24,5.4,0.0
92,8,6,1,3,20.8,32,6.3,0.0
93,8,6,1,3,18.2,43,4.9,0.0
94,8,6,1,1,23.4,22,2.7,0.0
95,4,4,11,3,17.8,64,1.3,0.0
96,3,4,3,2,12.7,48,1.8,0.0
97,3,4,7,2,17.4,24,5.4,0.0
98,3,4,1,3,11.6,87,4.5,0.0
99,3,4,1,3,19.8,39,5.4,0.0
100,3,4,1,3,19.8,39,5.4,0.0
101,3,4,1,5,14.4,66,5.4,0.0
102,2,4,1,5,20.1,40,4.0,0.0
103,2,4,11,2,24.1,29,4.5,0.0
104,2,4,4,2,5.3,78,3.1,0.0
105,4,5,7,0,12.7,52,6.3,0.0
106,4,5,7,4,18.2,29,3.1,0.0
107,4,5,1,3,21.4,33,3.1,0.0
108,4,5,11,2,20.3,45,3.1,0.0
109,4,5,11,1,17.4,56,5.4,0.0
110,4,4,7,0,13.7,43,5.8,0.0
111,3,4,7,0,18.8,18,4.5,0.0
112,3,4,11,3,22.8,39,3.6,0.0
113,3,4,11,1,18.9,35,2.7,0.0
114,3,4,7,5,15.8,27,7.6,0.0
115,3,5,7,5,15.5,27,6.3,0.0
116,3,4,7,2,11.6,30,6.3,0.0
117,3,4,7,2,15.2,27,4.9,0.0
118,3,4,7,1,10.6,30,4.0,0.0
119,3,4,1,4,19.6,36,3.1,0.0
120,3,4,1,1,10.3,74,2.2,0.0
121,3,4,1,1,17.1,43,5.4,0.0
122,3,4,11,3,22.5,42,5.4,0.0
123,3,4,11,5,17.9,45,3.1,0.0
124,3,4,11,0,19.8,50,5.4,0.0
125,3,4,10,3,20.6,24,5.4,0.0
126,3,5,7,1,9.0,49,2.2,0.0
127,3,5,11,0,17.2,43,3.1,0.0
128,3,5,10,6,15.9,46,3.6,0.0
129,2,5,10,3,15.4,35,0.9,0.0
130,4,6,3,2,15.4,40,2.7,0.0
131,4,6,7,1,14.0,39,3.1,0.0
132,4,6,7,3,10.6,46,4.9,0.0
133,4,6,11,4,17.6,42,3.1,0.0
134,3,5,7,5,14.9,38,2.7,0.0
135,3,5,1,2,17.6,52,5.8,0.0
136,3,6,11,3,17.2,58,1.3,0.0
137,3,6,11,1,15.6,66,3.1,0.0
138,9,9,5,5,18.0,42,2.7,0.0
139,1,4,11,5,21.7,38,2.2,0.0
140,2,5,11,1,21.9,39,1.8,0.0
141,1,2,1,6,23.3,31,4.5,0.0
142,8,6,1,0,21.2,51,8.9,0.0
143,1,2,5,2,16.6,53,5.4,0.0
144,2,5,1,6,23.8,32,5.4,0.0
145,6,5,1,4,27.4,22,4.0,0.0
146,5,4,7,1,13.2,40,5.4,0.0
147,8,3,11,5,24.2,28,3.6,0.0
148,2,2,1,5,17.4,43,6.7,0.0
149,8,6,11,4,23.7,25,4.5,0.0
150,6,5,6,0,23.2,39,5.4,0.0
151,9,9,5,3,24.8,29,2.2,0.0
152,3,4,5,2,24.6,43,1.8,0.0
153,5,4,11,0,20.1,47,4.9,0.0
154,1,5,11,2,29.6,27,2.7,0.0
155,7,4,1,3,16.4,47,1.3,0.0
156,2,4,11,2,28.6,27,2.2,0.0
157,2,2,1,6,18.4,45,3.6,0.0
158,2,4,1,6,20.5,35,4.0,0.0
159,7,4,11,0,19.0,34,5.8,0.0
160,7,4,7,1,16.1,29,3.1,0.0
161,6,4,1,4,20.3,41,4.0,0.0
162,6,3,7,2,15.2,31,8.5,0.0
163,8,6,11,2,17.8,56,1.8,0.0
164,8,5,11,3,17.8,67,2.2,0.0
165,6,5,7,4,5.3,70,4.5,0.0
166,6,5,1,6,16.6,47,0.9,0.0
167,6,5,1,6,23.4,33,4.5,0.0
168,6,5,7,0,14.6,26,9.4,0.0
169,8,6,1,4,20.7,45,2.2,0.0
170,5,4,11,6,21.9,35,1.8,0.0
171,8,6,1,6,17.4,50,4.0,0.0
172,7,4,1,3,20.1,39,5.4,0.0
173,4,4,11,1,17.7,39,2.2,0.0
174,1,4,1,2,14.2,53,1.8,0.0
175,1,4,1,2,20.3,39,4.9,0.0
176,6,5,0,4,5.8,54,5.8,0.0
177,2,5,1,3,19.2,44,2.7,0.0
178,2,5,11,6,18.3,45,2.2,0.0
179,8,6,1,5,14.4,66,5.4,0.0
180,1,3,11,3,23.9,32,6.7,0.0
181,8,6,10,1,19.1,32,4.0,0.0
182,5,4,3,3,12.4,53,2.2,0.0
183,7,4,10,1,16.8,45,4.5,0.0
184,8,6,1,0,20.8,34,4.9,0.0
185,2,5,11,5,17.6,46,3.1,0.0
186,8,6,7,3,11.5,39,5.8,0.0
187,1,5,11,1,21.0,42,2.2,0.0
188,6,4,7,2,13.3,42,0.9,0.0
189,7,4,7,3,11.5,60,4.0,0.0
190,6,5,7,0,11.7,33,4.0,0.0
191,2,5,1,4,24.2,28,2.7,0.0
192,2,2,1,5,24.6,22,4.5,0.0
193,4,5,11,6,24.3,25,4.0,0.0
194,2,2,1,5,24.6,22,4.5,0.0
195,2,5,1,0,23.5,36,5.4,0.0
196,6,5,0,4,5.8,54,5.8,0.0
197,4,5,11,4,21.5,15,0.9,0.0
198,3,4,11,5,13.9,59,6.3,0.0
199,2,4,11,1,22.6,38,3.6,0.0
200,1,5,11,5,21.6,33,2.2,0.0
201,6,5,7,3,12.4,54,3.6,0.0
202,7,4,3,3,8.8,68,2.2,0.0
203,8,6,10,6,20.2,37,2.7,0.0
204,5,6,7,2,15.1,64,4.0,0.0
205,4,5,11,4,22.1,34,1.8,0.0
206,2,2,1,2,22.9,31,7.2,0.0
207,7,5,11,5,20.7,37,2.2,0.0
208,6,5,11,0,19.6,33,6.3,0.0
209,8,3,11,4,23.2,26,4.9,0.0
210,4,4,10,2,18.4,25,3.1,0.0
211,7,4,1,2,5.1,96,5.8,0.0
212,7,4,11,0,20.1,47,4.9,0.0
213,7,3,7,1,11.0,46,5.8,0.0
214,4,4,7,2,17.0,27,4.9,0.0
215,4,4,7,2,17.0,27,4.9,0.0
216,4,4,11,3,16.9,60,1.3,0.0
217,1,3,11,1,12.4,73,6.3,0.0
218,4,5,11,6,19.4,19,1.3,0.0
219,6,5,7,1,15.2,27,3.1,0.0
220,8,6,1,3,16.2,59,3.1,0.0
221,3,4,11,0,18.6,49,3.6,0.0
222,4,3,7,1,11.0,46,5.8,0.0
223,2,2,5,0,13.4,79,3.6,0.0
224,7,4,11,6,15.4,57,4.5,0.0
225,4,4,11,3,22.9,39,4.9,0.0
226,7,5,10,1,16.1,44,4.0,0.0
227,8,6,1,2,20.1,34,4.5,0.0
228,4,6,11,3,28.3,26,3.1,0.0
229,8,6,1,2,16.4,43,4.0,0.0
230,4,4,11,6,26.4,21,4.5,0.0
231,1,5,11,3,27.8,27,3.1,0.0
232,6,4,11,5,18.7,43,2.7,0.0
233,9,4,11,5,24.3,36,3.1,0.0
234,4,5,11,2,17.7,25,3.1,0.0
235,8,6,1,3,19.6,41,5.8,0.0
236,2,2,11,2,18.2,46,1.8,0.0
237,1,2,11,5,18.8,40,2.2,0.0
238,6,5,11,2,25.1,27,4.0,0.0
239,7,5,0,3,13.4,75,1.8,0.0
240,6,3,0,6,15.2,51,2.7,0.0
241,4,4,0,0,16.7,20,3.1,0.0
242,2,4,1,3,15.4,66,4.0,0.0
243,7,4,1,3,21.9,73,7.6,1.0
244,2,4,1,3,22.4,54,7.6,0.0
245,3,4,1,3,26.8,38,6.3,0.0
246,5,4,1,3,25.7,39,5.4,0.0
247,2,4,1,6,20.7,70,2.2,0.0
248,8,6,1,6,28.7,28,2.7,0.0
249,3,4,1,6,21.7,40,0.4,0.0
250,8,5,1,6,26.8,25,3.1,0.0
251,8,5,1,6,24.0,36,3.1,0.0
252,6,5,1,6,22.1,37,3.6,0.0
253,7,4,1,4,21.4,38,2.7,0.0
254,6,3,1,4,18.9,41,3.1,0.0
255,2,5,1,4,22.3,46,4.0,0.0
256,8,6,1,2,23.9,41,2.2,0.0
257,4,3,1,2,21.4,44,2.7,0.0
258,3,4,1,2,20.6,59,0.9,0.0
259,7,4,1,2,23.7,40,1.8,0.0
260,2,4,1,1,28.3,32,4.0,0.0
261,3,4,1,0,11.2,84,7.6,0.0
262,2,4,1,0,21.4,42,3.1,0.0
263,6,3,1,0,19.3,39,3.6,0.0
264,4,4,1,0,21.8,53,3.1,0.0
265,4,4,1,5,22.1,54,7.6,0.0
266,6,5,1,5,19.4,55,4.0,0.0
267,2,2,1,5,23.7,24,3.1,0.0
268,3,4,1,5,21.0,32,3.1,0.0
269,4,4,1,5,19.1,53,2.7,0.0
270,2,2,1,5,21.8,56,3.1,0.0
271,8,6,1,5,20.1,58,4.5,0.0
272,2,5,1,5,20.2,47,4.0,0.0
273,4,6,2,3,4.8,57,8.5,0.0
274,8,6,2,6,5.1,61,8.0,0.0
275,4,6,2,4,5.1,61,4.9,0.0
276,4,4,2,1,4.6,21,8.5,0.0
277,3,4,2,1,4.6,21,8.5,0.0
278,4,4,2,1,4.6,21,8.5,0.0
279,4,4,2,1,4.6,21,8.5,0.0
280,4,6,2,0,2.2,59,4.9,0.0
281,6,5,2,5,5.1,24,8.5,0.0
282,6,3,3,3,4.2,51,4.0,0.0
283,3,4,3,6,8.8,35,3.1,0.0
284,5,4,3,0,7.5,46,8.0,0.0
285,2,5,5,3,23.4,40,6.3,0.0
286,7,6,5,6,12.6,90,7.6,0.2
287,7,4,5,2,22.1,49,2.7,0.0
288,7,4,5,2,24.2,32,1.8,0.0
289,7,4,5,2,24.3,30,1.8,0.0
290,2,5,5,2,18.7,53,1.8,0.0
291,9,4,5,2,25.3,39,0.9,0.0
292,4,5,5,0,22.9,40,1.3,0.0
293,7,6,5,5,26.9,28,5.4,0.0
294,8,6,5,5,17.1,67,3.6,0.0
295,7,5,6,3,22.2,48,1.3,0.0
296,6,4,6,3,14.3,46,1.8,0.0
297,8,6,6,3,15.4,45,2.2,0.0
298,8,6,6,6,19.6,43,4.9,0.0
299,6,5,6,2,10.6,90,2.7,0.0
300,6,5,6,1,20.7,25,4.9,0.0
301,6,5,6,1,19.1,39,5.4,0.0
302,3,6,6,0,19.2,38,4.5,0.0
303,3,6,6,0,19.2,38,4.5,0.0
304,6,5,8,2,11.3,94,4.9,0.0
305,1,4,11,3,19.0,52,2.2,0.0
306,7,4,11,3,17.1,53,5.4,0.0
307,3,4,11,3,23.8,35,3.6,0.0
308,2,4,11,3,16.0,45,1.8,0.0
309,2,4,11,3,24.9,27,2.2,0.0
310,7,4,11,3,25.3,27,2.7,0.0
311,6,3,11,3,24.8,28,1.8,0.0
312,2,4,11,3,12.2,78,6.3,0.0
313,6,5,11,6,24.3,27,4.9,0.0
314,4,4,11,6,19.7,41,1.8,0.0
315,3,4,11,6,18.5,30,2.7,0.0
316,4,5,11,4,18.6,24,5.8,0.0
317,4,4,11,4,19.2,24,4.9,0.0
318,6,5,11,4,21.6,27,2.2,0.0
319,5,4,11,4,21.6,28,6.3,0.0
320,6,3,11,4,18.9,34,7.2,0.0
321,1,4,11,4,16.8,28,4.0,0.0
322,6,5,11,4,16.8,28,4.0,0.0
323,3,5,11,4,12.9,39,2.7,0.0
324,6,5,11,4,13.7,56,1.8,0.0
325,1,4,11,2,24.2,27,3.1,0.0
326,5,4,11,2,24.1,27,3.1,0.0
327,6,5,11,2,21.2,32,2.2,0.0
328,6,5,11,2,19.7,35,1.8,0.0
329,4,3,11,2,23.5,27,4.0,0.0
330,3,3,11,2,24.2,27,3.1,0.0
331,7,4,11,2,21.5,28,4.5,0.0
332,4,4,11,2,17.1,41,2.2,0.0
333,1,4,11,1,18.1,54,3.1,0.0
334,2,3,11,1,18.0,51,5.4,0.0
335,4,3,11,1,9.8,86,1.8,0.0
336,7,4,11,1,19.3,44,2.2,0.0
337,6,3,11,1,23.0,34,2.2,0.0
338,8,6,11,1,22.7,35,2.2,0.0
339,2,4,11,1,20.4,41,1.8,0.0
340,2,5,11,1,19.3,44,2.2,0.0
341,8,6,11,1,15.7,51,2.2,0.0
342,6,3,11,1,20.6,37,1.8,0.0
343,8,6,11,1,15.9,51,4.5,0.0
344,6,3,11,1,12.2,66,4.9,0.0
345,2,2,11,1,16.8,43,3.1,0.0
346,1,4,11,1,21.3,35,2.2,0.0
347,5,4,11,0,10.1,75,3.6,0.0
348,3,4,11,0,17.4,57,4.5,0.0
349,5,4,11,0,12.8,64,3.6,0.0
350,5,4,11,0,10.1,75,3.6,0.0
351,4,4,11,0,15.4,53,6.3,0.0
352,7,4,11,0,20.6,43,3.6,0.0
353,7,4,11,0,19.8,47,2.7,0.0
354,7,4,11,0,18.7,50,2.2,0.0
355,4,4,11,0,20.8,35,4.9,0.0
356,4,4,11,0,20.8,35,4.9,0.0
357,6,3,11,0,15.9,55,3.6,0.0
358,6,3,11,0,19.7,39,2.7,0.0
359,1,4,11,0,21.1,39,2.2,0.0
360,6,5,11,0,18.4,42,2.2,0.0
361,4,3,11,0,17.3,45,4.0,0.0
362,7,4,11,0,15.2,64,3.1,0.0
363,4,3,11,5,15.9,53,2.2,0.0
364,6,5,11,5,21.1,35,2.7,0.0
365,6,5,11,5,19.6,45,3.1,0.0
366,4,5,11,5,15.9,38,5.4,0.0
367,4,5,11,5,16.4,27,3.6,0.0
368,6,5,11,2,16.8,47,4.9,0.0
369,4,5,11,3,13.8,77,7.6,0.0
370,7,4,11,3,13.8,77,7.6,0.0
371,3,4,5,6,14.2,58,4.0,0.0
372,4,5,1,3,10.4,75,0.9,0.0
373,5,4,1,4,20.3,42,2.7,0.0
374,6,5,11,0,10.3,78,4.0,0.0
375,6,5,11,2,15.4,57,4.9,0.0
376,8,6,1,1,21.1,54,2.2,0.0
377,2,2,1,2,21.9,42,2.2,0.0
378,6,5,7,4,8.7,51,5.8,0.0
379,4,5,4,3,5.2,100,0.9,0.0
380,5,4,5,6,19.3,39,7.2,0.0
381,8,6,1,4,16.2,63,2.7,0.0
382,8,6,1,6,28.2,29,1.8,0.0
383,9,6,1,4,20.5,58,2.7,0.0
384,8,4,1,2,21.3,44,4.5,0.0
385,2,4,1,3,20.9,50,2.2,0.0
386,3,4,11,3,20.6,55,5.4,0.0
387,5,5,7,4,11.6,48,5.4,0.0
388,6,4,1,0,23.3,34,3.1,0.0
389,7,4,1,0,23.3,34,3.1,0.0
390,7,4,3,1,7.5,71,6.3,0.0
391,8,6,11,0,20.7,46,2.7,0.0
392,1,3,11,3,21.9,43,4.0,0.0
393,2,4,7,5,15.2,19,7.6,0.0
394,6,5,3,1,5.3,68,1.8,0.0
395,4,5,3,3,10.1,62,1.8,0.0
396,4,3,11,3,20.4,55,4.9,0.0
397,5,6,1,3,24.3,33,3.6,0.0
398,1,2,1,2,25.9,32,3.1,0.0
399,9,5,6,6,28.0,34,4.5,0.0
400,9,5,6,6,28.0,34,4.5,0.0
401,3,4,11,4,22.8,46,4.0,0.0
402,9,9,1,0,25.0,36,4.0,0.0
403,8,6,1,4,21.3,41,3.6,0.0
404,2,4,11,6,21.8,34,2.2,0.0
405,2,2,1,5,27.9,27,2.2,0.0
406,6,5,11,2,17.0,67,4.9,0.0
407,4,5,3,2,14.2,46,4.0,0.0
408,4,3,11,0,19.9,44,3.1,0.0
409,1,4,5,5,23.4,31,5.4,0.0
410,6,3,3,0,14.7,42,2.7,0.0
411,7,4,3,0,8.2,53,9.4,0.0
412,9,4,5,1,22.8,27,4.5,0.0
413,7,5,1,2,26.4,33,3.6,0.0
414,5,4,1,3,24.1,50,4.0,0.0
415,8,6,1,4,27.5,27,4.9,0.0
416,6,3,5,5,26.3,39,3.1,0.0
417,6,5,7,6,13.8,24,5.8,0.0
418,2,4,1,3,24.9,42,5.4,0.0
419,2,5,1,3,24.8,36,4.0,0.0
420,8,8,1,6,26.2,36,4.5,0.0
421,2,4,1,6,30.8,19,4.5,0.0
422,8,6,5,3,29.3,27,3.6,0.0
423,1,3,11,2,22.3,48,4.0,0.0
424,8,6,1,2,26.9,31,3.6,0.0
425,2,2,1,4,20.4,56,2.2,0.0
426,8,6,1,4,20.4,56,2.2,0.0
427,2,4,1,1,27.9,33,2.2,0.0
428,1,3,1,4,26.2,34,5.8,0.0
429,3,4,1,3,24.6,44,4.0,0.0
430,7,4,11,4,19.4,45,3.6,0.0
431,1,3,1,2,23.3,40,4.0,0.0
432,8,6,1,4,23.9,38,6.7,0.0
433,2,4,1,3,20.9,66,4.9,0.0
434,1,4,1,0,22.2,45,3.6,0.0
435,2,5,5,2,23.8,51,1.8,0.0
436,8,6,1,1,26.8,35,1.3,0.0
437,8,6,1,2,14.2,73,2.7,0.0
438,2,5,1,2,23.6,53,4.0,0.0
439,1,3,11,0,19.1,46,2.2,0.0
440,5,4,11,0,16.2,58,3.6,0.0
441,8,6,1,1,25.5,29,1.8,0.0
442,6,5,0,1,10.9,64,3.1,0.0
443,1,2,5,0,14.8,78,8.0,0.0
444,2,5,11,0,16.2,58,3.6,0.0
445,5,5,1,3,17.3,80,4.5,0.0
446,6,5,1,3,19.1,70,2.2,0.0
447,3,4,7,6,8.9,35,8.0,0.0
448,7,4,11,6,10.5,77,4.0,0.0
449,7,4,1,3,19.3,61,4.9,0.0
450,4,5,1,6,23.4,49,5.4,0.0
451,1,4,1,0,11.8,88,4.9,0.0
452,7,4,1,1,17.7,65,4.0,0.0
453,4,5,1,4,17.4,54,3.1,0.0
454,3,4,1,4,16.8,56,3.1,0.0
455,3,4,5,1,17.9,48,2.7,0.0
456,2,4,1,4,16.6,59,2.7,0.0
457,1,4,1,6,19.9,50,4.0,0.0
458,8,6,1,2,18.9,64,4.9,0.0
459,7,4,1,2,15.5,72,8.0,0.0
460,2,5,1,2,18.9,64,4.9,0.0
461,8,6,1,2,18.9,64,4.9,0.0
462,1,4,11,3,14.5,76,7.6,0.0
463,6,5,3,5,4.6,82,6.3,0.0
464,6,4,3,5,5.1,77,5.4,0.0
465,2,2,3,2,4.6,59,0.9,0.0
466,6,5,7,1,10.2,45,5.8,0.0
467,3,4,7,6,11.2,41,5.4,0.0
